Term,statistic,pvalue,df_constraint,df_denom
Intercept,172.57366434784262,4.155835583820003e-25,1,122
C(Distance),29.843434654389462,2.9451182016983934e-28,10,122
"C(DistType, Treatment(reference='CD'))",26.56795336417762,9.938929233572774e-07,1,122
"C(Distance):C(DistType, Treatment(reference='CD'))",3.7944439084120853,0.0001784322296373037,10,122
AtBoundary,0.18239137844587586,0.6700788905190389,1,122
"AtBoundary:C(DistType, Treatment(reference='CD'))",1.7794632707466158,0.18470010735367026,1,122
