DistType,Story,PerturbationID,Distance,AtBoundary,DistWordIndex,OriginalWordIndex,DistSurprisal,OriginalSurprisal,DeltaSurprisal,RepresentationDistance
CD,Story1,CD_Story1_s1_k18,0,0,18,18,17.832096099853516,4.779107093811035,13.05298900604248,0.04905170202255249
CD,Story1,CD_Story1_s1_k18,1,0,19,19,18.948820114135742,17.55743408203125,1.3913860321044922,0.006355166435241699
CD,Story1,CD_Story1_s1_k18,2,1,20,20,3.755444288253784,3.577118396759033,0.17832589149475098,0.0033677220344543457
CD,Story1,CD_Story1_s2_k26,0,0,26,26,17.713951110839844,8.706709861755371,9.007241249084473,0.39228683710098267
CD,Story1,CD_Story1_s2_k26,1,0,27,27,10.458756446838379,9.467029571533203,0.9917268753051758,0.11037254333496094
CD,Story1,CD_Story1_s2_k26,2,0,28,28,1.4306895732879639,0.20289161801338196,1.227797955274582,0.08491098880767822
CD,Story1,CD_Story1_s2_k26,3,0,29,29,0.9878568649291992,0.8096296191215515,0.1782272458076477,0.13440781831741333
CD,Story1,CD_Story1_s2_k26,4,0,30,30,9.30518913269043,8.374112129211426,0.9310770034790039,0.03477776050567627
CD,Story1,CD_Story1_s2_k26,5,0,31,31,4.551358222961426,4.522100925445557,0.02925729751586914,0.003622770309448242
CD,Story1,CD_Story1_s2_k26,6,0,32,32,1.4061954021453857,1.5019702911376953,-0.09577488899230957,0.008606314659118652
CD,Story1,CD_Story1_s2_k26,7,0,33,33,7.218292713165283,7.611876487731934,-0.3935837745666504,0.005870223045349121
CD,Story1,CD_Story1_s2_k26,8,1,34,34,6.0594892501831055,5.525096893310547,0.5343923568725586,0.009449601173400879
CD,Story1,CD_Story1_s4_k53,0,0,53,53,9.330998420715332,0.27984651923179626,9.051151901483536,0.19300109148025513
CD,Story1,CD_Story1_s4_k53,1,0,54,54,1.2366129159927368,0.7098238468170166,0.5267890691757202,0.05647808313369751
CD,Story1,CD_Story1_s4_k53,2,0,55,55,7.884037494659424,5.624027252197266,2.260010242462158,0.009183108806610107
CD,Story1,CD_Story1_s4_k53,3,0,56,56,7.053615570068359,6.986230373382568,0.06738519668579102,0.004741311073303223
CD,Story1,CD_Story1_s4_k53,4,0,57,57,3.056915044784546,3.175952434539795,-0.11903738975524902,0.004996180534362793
CD,Story1,CD_Story1_s4_k53,5,0,58,58,0.40367457270622253,0.36725497245788574,0.03641960024833679,0.008553385734558105
CD,Story1,CD_Story1_s4_k53,6,1,59,59,5.805086135864258,5.249307632446289,0.5557785034179688,0.02252674102783203
CD,Story2,CD_Story2_s2_k35,0,0,35,35,18.317485809326172,5.262467384338379,13.055018424987793,0.07883965969085693
CD,Story2,CD_Story2_s2_k35,1,0,36,36,5.136373043060303,4.737634658813477,0.39873838424682617,0.027619600296020508
CD,Story2,CD_Story2_s2_k35,2,0,37,37,3.4487290382385254,3.1780169010162354,0.27071213722229004,0.02224975824356079
CD,Story2,CD_Story2_s2_k35,3,0,38,38,0.6541485786437988,0.5481048822402954,0.10604369640350342,0.02320319414138794
CD,Story2,CD_Story2_s2_k35,4,1,39,39,7.41691780090332,7.697253704071045,-0.2803359031677246,0.0072670578956604
CD,Story2,CD_Story2_s3_k46,0,0,46,46,12.126058578491211,4.495270729064941,7.6307878494262695,0.25488364696502686
CD,Story2,CD_Story2_s3_k46,1,0,47,47,0.6952961087226868,1.6357498168945312,-0.9404537081718445,0.1888790726661682
CD,Story2,CD_Story2_s3_k46,2,0,48,48,6.106891632080078,3.7870192527770996,2.3198723793029785,0.09274458885192871
