Term,statistic,pvalue,df_constraint,df_denom
Intercept,68.2731974446572,1.9966308042339412e-13,1,122
C(Distance),7.431305543758238,3.874887767721236e-09,10,122
"C(DistType, Treatment(reference='CD'))",23.99236285724071,3.0027198450161965e-06,1,122
"C(Distance):C(DistType, Treatment(reference='CD'))",4.660768134558204,1.2633959325181599e-05,10,122
AtBoundary,8.367389881963659,0.0045252825876733295,1,122
"AtBoundary:C(DistType, Treatment(reference='CD'))",2.486517246643288,0.11741511192632768,1,122
