DistType,BoundaryModulation,SE,T,P,CILow,CIHigh
CD,-0.015232351177988155,0.005316614768530483,-2.8650469972264685,0.0061249159912526415,-0.025916488562182618,-0.004548213793793693
RD,-0.034688061168071084,0.011155776728631637,-3.109425906583728,0.002684963762657157,-0.05692669563441261,-0.012449426701729556
