DistType,Distance,Position,Estimate,SE,T,P,CILow,CIHigh
CD,0,K,0.11985964978331545,0.015398296317946194,7.783955270663488,4.0934407276274276e-10,0.08891561480879243,0.15080368475783848
CD,1,K+1,0.03919681739420107,0.006933706327153313,5.653083004208174,7.97565920503553e-07,0.025263012857627443,0.053130621930774696
CD,2,K+2,0.02428608366134072,0.0050574858662145354,4.802007223308079,1.5201378163786976e-05,0.014122685302464865,0.03444948202021657
CD,3,K+3,0.022020961658433633,0.00464177556613689,4.744081514643446,1.8495742008002084e-05,0.012692964424413382,0.031348958892453885
CD,4,K+4,0.00845620861403189,0.003638478380611098,2.324105774296681,0.024309558715805563,0.0011444125595257305,0.015768004668538046
CD,5,K+5,0.007156369790386823,0.003394695800410855,2.108103409301269,0.04016002147172719,0.000334473172294545,0.0139782664084791
CD,6,K+6,0.008277845320183221,0.003911471260402407,2.1162996655462085,0.039423409942141704,0.00041744953453584817,0.016138241105830592
CD,7,K+7,0.005725679501842983,0.005101427883380527,1.122368017883022,0.26717569369606414,-0.004526023646599155,0.015977382650285123
CD,8,K+8,0.009371776411479559,0.004924299271038585,1.9031695467003888,0.06290173198263475,-0.0005239734638131481,0.019267526286772266
CD,9,K+9,0.0034018271701182646,0.005393884332652357,0.6306822616727248,0.5311790003938321,-0.007437589216719286,0.014241243556955815
CD,10,K+10,0.015457068277861712,0.006155068856916942,2.511274631881879,0.015376360490685978,0.0030879943201760508,0.02782614223554737
RD,0,K,0.20922652128313093,0.01999833664454363,10.462196181711771,4.224918580998713e-16,0.1693605657883942,0.24909247677786767
RD,1,K+1,0.03421969268637325,0.011728887249139298,2.9175566240424384,0.0047029775985034635,0.010838583277729078,0.05760080209501743
RD,2,K+2,0.002355785710426876,0.010701996945197252,0.22012580665929687,0.8263961254564152,-0.018978255290350493,0.023689826711204245
RD,3,K+3,-0.009370179679568082,0.010807228360840079,-0.8670289334794541,0.38880654119525093,-0.030913995673497677,0.012173636314361514
RD,4,K+4,-0.014838679997535832,0.011085058417434455,-1.3386199187004484,0.18490601515728367,-0.036936340087009925,0.007258980091938257
RD,5,K+5,-0.008727528105998535,0.010818054666808062,-0.8067557777070883,0.42246413779937175,-0.03029292594643684,0.012837869734439771
RD,6,K+6,-0.01884172339752358,0.010490232770815226,-1.7961206208829756,0.07667043551612207,-0.039753620231946146,0.0020701734368989873
RD,7,K+7,-0.018334873161316274,0.010224220640507957,-1.7932783148941676,0.07712791697743479,-0.03871648450568119,0.0020467381830486416
RD,8,K+8,-0.021400792832440903,0.011316708955998876,-1.89107919233856,0.06263700910878835,-0.043960239830740766,0.0011586541658589605
RD,9,K+9,-0.021409619860534003,0.010479709186881592,-2.042959349228352,0.04471782352615527,-0.04230053831379416,-0.000518701407273843
RD,10,K+10,-0.023646948863434443,0.0104225419817451,-2.2688274036076477,0.02627721014427373,-0.044423906576047126,-0.0028699911508217636
