DistType,Estimate,SE,T,P,CILow,CIHigh
CD,-0.015232351177988072,0.005265891916891447,-2.89264409873798,0.004525282587673301,-0.025656710176646357,-0.004807992179329789
RD,-0.03468806116807112,0.011158012334004213,-3.1088029059045508,0.002338124334346446,-0.056776461028313574,-0.012599661307828663
