DistType,Story,MapSentenceIndex,PerturbationID,AnchorDistWordIndex,Distance,AtBoundary,EndDistance,N_K_Spans,DistWordIndex,OriginalWordIndex,DistWord,OriginalWord
CD,Story18,5,CD_Story18_s5_k58,58,3,0,9,1,61,61,from,from
CD,Story18,5,CD_Story18_s5_k58,58,4,0,9,1,62,62,"it,","it,"
CD,Story18,5,CD_Story18_s5_k58,58,5,0,9,1,63,63,and,and
CD,Story18,5,CD_Story18_s5_k58,58,6,0,9,1,64,64,pretended,pretended
CD,Story18,5,CD_Story18_s5_k58,58,7,0,9,1,65,65,to,to
CD,Story18,5,CD_Story18_s5_k58,58,8,0,9,1,66,66,be,be
CD,Story18,5,CD_Story18_s5_k58,58,9,1,9,1,67,67,dead.,dead.
CD,Story18,6,CD_Story18_s6_k89,89,0,0,6,1,89,89,"air,","grain,"
CD,Story18,6,CD_Story18_s6_k89,89,1,0,6,1,90,90,we,we
CD,Story18,6,CD_Story18_s6_k89,89,2,0,6,1,91,91,still,still
CD,Story18,6,CD_Story18_s6_k89,89,3,0,6,1,92,92,wouldn’t,wouldn’t
CD,Story18,6,CD_Story18_s6_k89,89,4,0,6,1,93,93,come,come
CD,Story18,6,CD_Story18_s6_k89,89,5,0,6,1,94,94,near,near
CD,Story18,6,CD_Story18_s6_k89,89,6,1,6,1,95,95,you.”,you.”
CD,Story19,1,CD_Story19_s1_k23,23,0,0,4,1,23,23,"peace,","battle,"
CD,Story19,1,CD_Story19_s1_k23,23,1,0,4,1,24,24,with,with
CD,Story19,1,CD_Story19_s1_k23,23,2,0,4,1,25,25,a,a
CD,Story19,1,CD_Story19_s1_k23,23,3,0,4,1,26,26,heavy,heavy
CD,Story19,1,CD_Story19_s1_k23,23,4,1,4,1,27,27,heart.,heart.
CD,Story19,2,CD_Story19_s2_k68,68,0,0,4,2,68,68,bridge,groom
CD,Story19,2,CD_Story19_s2_k68,68,1,0,4,2,69,69,to,to
CD,Story19,2,CD_Story19_s2_k68,68,2,0,4,2,70,70,care,care
CD,Story19,2,CD_Story19_s2_k68,68,3,0,4,2,71,71,for,for
CD,Story19,2,CD_Story19_s2_k68,68,4,1,4,2,72,72,me.,me.
CD,Story20,3,CD_Story20_s3_k35,35,0,0,3,1,35,35,"sky,","straw,"
CD,Story20,3,CD_Story20_s3_k35,35,1,0,3,1,36,36,with,with
CD,Story20,3,CD_Story20_s3_k35,35,2,0,3,1,37,37,great,great
CD,Story20,3,CD_Story20_s3_k35,35,3,1,3,1,38,38,excitement.,excitement.
CD,Story20,5,CD_Story20_s5_k77,77,0,0,6,1,77,77,time,barley
CD,Story20,5,CD_Story20_s5_k77,77,1,0,6,1,78,78,than,than
