DistType,Distance,Position,Beta,SE,Z,P,CILow,CIHigh,PercentChange
CD,1,K+1,0.08521997851785046,0.014732228444030583,5.784595239044174,7.2687132993388974e-09,0.05634481076755052,0.1140951462681504,8.895658740882894
CD,2,K+2,0.09233282444545904,0.014265311063599833,6.47254196097137,9.636774658406562e-11,0.06437281476080337,0.12029283413011471,9.672977982480724
CD,3,K+3,0.062004099715779436,0.014333821627631032,4.325720057535481,1.5203440449170994e-05,0.03390980932562261,0.09009839010593626,6.396670668018833
CD,4,K+4,0.013806240833865772,0.014680922621246454,0.940420516479337,0.3470019024981227,-0.014968367503777277,0.042580849171508825,1.3901987101434754
CD,5,K+5,0.03445362203821112,0.015766376852562485,2.185259324980008,0.028869837926969445,0.0035515234071886483,0.06535572066923359,3.5054023566985837
CD,6,K+6,0.03587026050419885,0.016050859710010468,2.2347874912785874,0.0254313034487124,0.0044105754725783375,0.06732994553581936,3.6521360008373582
CD,7,K+7,0.030664352543767266,0.018977647108899973,1.6158142454544095,0.10613448064244631,-0.006531835789676678,0.06786054087721122,3.113934649767569
CD,8,K+8,0.04832628233976259,0.020999838720318357,2.301269213701369,0.021376418785601523,0.007166598447938613,0.08948596623158657,4.951303703421517
CD,9,K+9,0.03816146728040379,0.02114764342841444,1.8045257576609788,0.07114892496639774,-0.003287913839288517,0.0796108484000961,3.8898967527205563
CD,10,K+10,0.01708195613292534,0.02147607906447028,0.7953945448629628,0.4263840321867478,-0.025011158833436402,0.05917507109928708,1.7228687038559842
RD,1,K+1,0.06984757323260934,0.012288919074134647,5.683784945709542,1.3174592678404676e-08,0.04576129184730544,0.09393385461791326,7.234471475779913
RD,2,K+2,0.0593996728848321,0.012752471439446557,4.657894994463126,3.194590755310232e-06,0.03440482886351685,0.08439451690614735,6.119928857535006
RD,3,K+3,0.052088285953367466,0.0132446341143681,3.932784062102616,8.396766243429309e-05,0.026128803089205992,0.07804776881752894,5.346874490038833
RD,4,K+4,0.044788971559816454,0.01345820948934631,3.3280037433859215,0.0008747069110727033,0.018410880960697686,0.07116706215893523,4.580714157079413
RD,5,K+5,0.04779745381175514,0.0131318057517153,3.639823396375762,0.00027282509411009225,0.022059114538393154,0.07353579308511712,4.895817132705438
RD,6,K+6,0.033049992103530906,0.013649094726685965,2.42140543130039,0.01546062319806025,0.0062977664392264154,0.0598022177678354,3.360220989841922
RD,7,K+7,0.04821794821041523,0.01339437732365136,3.5998648571198255,0.00031838260893144046,0.021964968656058566,0.07447092776477189,4.9399345111578175
RD,8,K+8,0.02841951287016071,0.01465514378614708,1.9392176074740755,0.05247484649731596,-0.00030456895068756845,0.057143594691008985,2.8827200153530574
RD,9,K+9,0.042560941596968827,0.01437860875484999,2.9600180603434785,0.003076210081347083,0.014378868437462843,0.0707430147564748,4.347964575205587
RD,10,K+10,0.031794266405059654,0.014610770146492306,2.176084223232592,0.02954896339142307,0.003157156917934733,0.06043137589218457,3.230510361674388
