DistType,Story,SentenceIndex,PerturbationID,N_K_Tokens,N_K_Spans,AnchorDistWordIndex,WordsAfterFinalK,MappedResponses,OriginalSentenceLength,DistortedSentenceLength,AlignmentMethod
RD,Story15,3,RD_Story15_s3_k56,2,2,56,6,7,26,26,position
RD,Story16,2,RD_Story16_s2_k22,1,1,22,16,11,20,20,position
RD,Story16,3,RD_Story16_s3_k39,1,1,39,18,11,19,19,position
RD,Story16,4,RD_Story16_s4_k88,2,2,88,1,2,32,32,position
RD,Story17,2,RD_Story17_s2_k34,1,1,34,5,6,22,22,position
RD,Story17,3,RD_Story17_s3_k43,1,1,43,21,11,25,25,position
RD,Story17,4,RD_Story17_s4_k73,1,1,73,11,11,20,20,position
RD,Story18,3,RD_Story18_s3_k26,1,1,26,12,11,15,15,position
RD,Story18,4,RD_Story18_s4_k44,1,1,44,9,10,15,15,position
RD,Story18,5,RD_Story18_s5_k57,1,1,57,10,11,14,14,position
RD,Story18,6,RD_Story18_s6_k90,1,1,90,5,6,28,28,position
RD,Story19,2,RD_Story19_s2_k72,2,2,72,0,1,45,45,position
RD,Story19,3,RD_Story19_s3_k86,2,2,86,7,8,21,21,position
RD,Story19,4,RD_Story19_s4_k98,1,1,98,9,10,14,14,position
RD,Story20,3,RD_Story20_s3_k34,2,2,34,4,5,18,18,position
RD,Story20,4,RD_Story20_s4_k51,1,1,51,1,2,14,14,position
RD,Story20,5,RD_Story20_s5_k59,1,1,59,24,11,31,31,position
RD,Story21,2,RD_Story21_s2_k22,1,1,22,11,11,17,17,position
RD,Story21,3,RD_Story21_s3_k42,1,1,42,15,11,24,24,position
RD,Story21,4,RD_Story21_s4_k62,1,1,62,12,11,17,17,position
