DistType,Model,Metric,PointEstimate,CILow,BootstrapMedian,CIHigh,NBootstrap
CD,log_normal,Baseline,0.015282332406767138,0.0012852235016585398,0.016443845605707063,0.08364638331042207,1000
CD,log_normal,Amplitude,0.08164763922530838,-0.08379809763124647,0.08175839846439317,0.11994838513632941,1000
CD,log_normal,PeakDistance,1.4780014922922984,1.2722332726362935,1.500116675008402,5.6274613998976095,1000
CD,log_normal,PeakEffect,0.09692997163207552,-0.007715146593617613,0.09632619796566205,0.13017672716556788,1000
CD,log_normal,HalfMaximumLow,0.886521653538238,0.6176975505668882,0.9265824569009777,3.4368484049613723,1000
CD,log_normal,HalfMaximumHigh,2.464111736582685,2.081225763521273,2.5080164640114706,10.333312218048121,1000
CD,log_normal,EffectAtKPlus1,0.06974163922686888,0.05037295454263434,0.0699108612766382,0.08894522238894909,1000
CD,log_normal,EffectAtKPlus10,0.015287347159372343,0.0020901262765581265,0.016460163918758413,0.058395008620529175,1000
CD,log_normal,LocalComponentAtKPlus10,5.014752605204953e-06,-0.040344752565045265,2.4758243772887017e-06,0.0007225466517352867,1000
RD,linear,InterceptAtK,0.03623701133627775,0.02493591696261107,0.03590632609184462,0.04752787367862277,1000
RD,linear,SlopePerWord,-0.003778773137642635,-0.005793846144002589,-0.003797375179816748,-0.001781165641903056,1000
RD,linear,EffectAtKPlus1,0.032458238198635116,0.02320083100896688,0.032068999931744946,0.04229585805010839,1000
RD,linear,EffectAtKPlus10,-0.0015507200401486051,-0.014034963259471884,-0.0015610171318897123,0.01023516976811097,1000
RD,linear,TotalChangeKPlus1ToKPlus10,-0.03400895823878372,-0.05214461529602331,-0.034176376618350726,-0.016030490777127506,1000
RD,linear,ZeroCrossingDistance,9.589623408534123,7.34909977784216,9.579935333037142,15.297126290400035,1000
