Participant,Story,Story_Version,Word,RT,Word_Condition,WordIndex,SentenceIndex,log_RT,N_Observations,RT_Replaced,StoryNumber,VersionOrder,FreqH,Length,prev_index,lag1_logRT,item_uid,resid_logRT,DistType,MapSentenceIndex,PerturbationID,AnchorDistWordIndex,Distance,AtBoundary,EndDistance,N_K_Spans,DistWordIndex,OriginalWordIndex,DistWord,OriginalWord,ItemID,Condition
P002,Story3,CD,serious.,282.9000000953674,K_END,85,4,5.645093478644627,1,False,3,1,12.954288645824258,7,84.0,5.43197375198648,Story3_CD_w85,0.27470141202281617,CD,4,CD_Story3_s4_k75,75,10,1,10,1,85,85,serious.,serious.,CD_Story3_s4_k75_d10_dw85_ow85,CD
P002,Story3,CD,the,248.7000001907436,K+1,115,6,5.516247351576322,1,False,3,1,4.218934101564037,3,114.0,5.457881936422591,Story3_CD_w115,0.1351297860473153,CD,6,CD_Story3_s6_k114,114,1,0,7,1,115,115,the,the,CD_Story3_s6_k114_d1_dw115_ow115,CD
P002,Story3,CD,donkey,238.6000000476924,K+2,116,6,5.4747885098637,1,False,3,1,17.871521185654235,6,115.0,5.516247351576322,Story3_CD_w116,0.06950876508230408,CD,6,CD_Story3_s6_k114,114,2,0,7,1,116,116,donkey,donkey,CD_Story3_s6_k114_d2_dw116_ow116,CD
P002,Story3,CD,took,282.5999999046326,K+3,117,6,5.644032469912963,1,False,3,1,11.59171856643955,4,116.0,5.4747885098637,Story3_CD_w117,0.2559159023730597,CD,6,CD_Story3_s6_k114,114,3,0,7,1,117,117,took,took,CD_Story3_s6_k114_d3_dw117_ow117,CD
P002,Story3,CD,off,316.9000001907407,CD,118,6,5.75858626729877,1,False,3,1,10.19855324763821,3,117.0,5.644032469912963,Story3_CD_w118,0.30040589760268066,CD,6,CD_Story3_s6_k114,114,4,0,7,1,118,118,off,off,CD_Story3_s6_k114_d4_dw118_ow118,CD
P002,Story3,CD,and,288.6000000000058,CD,119,6,5.66504164633979,1,False,3,1,5.282087830355572,3,118.0,5.75858626729877,Story3_CD_w119,0.15943816864065763,CD,6,CD_Story3_s6_k114,114,5,0,7,1,119,119,and,and,CD_Story3_s6_k114_d5_dw119_ow119,CD
P002,Story3,CD,ran,236.7999999523163,CD,120,6,5.4672159028084835,1,False,3,1,13.720166931905702,3,119.0,5.66504164633979,Story3_CD_w120,0.0003381309705083879,CD,6,CD_Story3_s6_k114,114,6,0,7,1,120,120,ran,ran,CD_Story3_s6_k114_d6_dw120_ow120,CD
P002,Story3,CD,away.,287.0,K_END,121,6,5.6594822157596205,1,False,3,1,11.227664995879511,4,120.0,5.4672159028084835,Story3_CD_w121,0.27450056448124194,CD,6,CD_Story3_s6_k114,114,7,1,7,1,121,121,away.,away.,CD_Story3_s6_k114_d7_dw121_ow121,CD
P002,Story7,CD,but,150.000000142958,K+1,25,2,5.010635295049309,1,False,7,1,7.871548214816321,3,24.0,5.0304379213893915,Story7_CD_w25,-0.19352852339522375,CD,2,CD_Story7_s2_k24,24,1,0,6,1,25,25,but,but,CD_Story7_s2_k24_d1_dw25_ow25,CD
P002,Story7,CD,ended,141.6000001910143,K+2,26,2,4.95300618260859,1,False,7,1,13.553056946070445,5,25.0,5.010635295049309,Story7_CD_w26,-0.24295972263620058,CD,2,CD_Story7_s2_k24,24,2,0,6,1,26,26,ended,ended,CD_Story7_s2_k24_d2_dw26_ow26,CD
P002,Story7,CD,up,159.5999999996284,K+3,27,2,5.07267068501338,1,False,7,1,8.673002535434241,2,26.0,4.95300618260859,Story7_CD_w27,-0.09943785639220515,CD,2,CD_Story7_s2_k24,24,3,0,6,1,27,27,up,up,CD_Story7_s2_k24_d3_dw27_ow27,CD
P002,Story7,CD,hitting,394.0000001909202,CD,28,2,5.976350909782503,1,False,7,1,15.083571662769224,7,27.0,5.07267068501338,Story7_CD_w28,0.7547035250458629,CD,2,CD_Story7_s2_k24,24,4,0,6,1,28,28,hitting,hitting,CD_Story7_s2_k24_d4_dw28_ow28,CD
P002,Story7,CD,himself,183.8000001432365,CD,29,2,5.213848210700893,1,False,7,1,12.455835138357777,7,28.0,5.976350909782503,Story7_CD_w29,-0.3819057150446694,CD,2,CD_Story7_s2_k24,24,5,0,6,1,29,29,himself,himself,CD_Story7_s2_k24_d5_dw29_ow29,CD
P002,Story7,CD,instead.,177.4000001433305,K_END,30,2,5.17840707068343,1,False,7,1,12.488625073475445,7,29.0,5.213848210700893,Story7_CD_w30,-0.10168514260597217,CD,2,CD_Story7_s2_k24,24,6,1,6,1,30,30,instead.,instead.,CD_Story7_s2_k24_d6_dw30_ow30,CD
P002,Story7,CD,on,182.3000000952743,K+1,43,3,5.205653682207241,1,False,7,1,6.942528932361784,2,42.0,5.093750201680954,Story7_CD_w43,-0.024720224202106955,CD,3,CD_Story7_s3_k42,42,1,0,29,1,43,43,on,on,CD_Story7_s3_k42_d1_dw43_ow43,CD
P002,Story7,CD,a,215.0999999046326,K+2,44,3,5.371103035830321,1,False,7,1,5.448508591452505,1,43.0,5.205653682207241,Story7_CD_w44,0.09440320252880863,CD,3,CD_Story7_s3_k42,42,2,0,29,1,44,44,a,a,CD_Story7_s3_k42_d2_dw44_ow44,CD
P002,Story7,CD,tiny,244.0999999046326,K+3,45,3,5.497577977008224,1,False,7,1,14.549593090766873,4,44.0,5.371103035830321,Story7_CD_w45,0.1523852369244425,CD,3,CD_Story7_s3_k42,42,3,0,29,1,45,45,tiny,tiny,CD_Story7_s3_k42_d3_dw45_ow45,CD
P002,Story7,CD,insect,216.2000000001863,CD,46,3,5.376203905205969,1,False,7,1,17.408006613267162,6,45.0,5.497577977008224,Story7_CD_w46,-0.021347071200247925,CD,3,CD_Story7_s3_k42,42,4,0,29,1,46,46,insect,insect,CD_Story7_s3_k42_d4_dw46_ow46,CD
P002,Story7,CD,like,245.0999999046326,CD,47,3,5.50166629014497,1,False,7,1,8.604015925242933,4,46.0,5.376203905205969,Story7_CD_w47,0.15436188650370664,CD,3,CD_Story7_s3_k42,42,5,0,29,1,47,47,like,like,CD_Story7_s3_k42_d5_dw47_ow47,CD
P002,Story7,CD,"me,",236.1000000000931,CD,48,3,5.464255444091862,1,False,7,1,8.371235735111732,2,47.0,5.50166629014497,Story7_CD_w48,0.0650119832821705,CD,3,CD_Story7_s3_k42,42,6,0,29,1,48,48,"me,","me,",CD_Story7_s3_k42_d6_dw48_ow48,CD
P002,Story7,CD,and,201.1000001430511,CD,49,3,5.303802297489949,1,False,7,1,5.282087830355572,3,48.0,5.464255444091862,Story7_CD_w49,-0.07995377980781182,CD,3,CD_Story7_s3_k42,42,7,0,29,1,49,49,and,and,CD_Story7_s3_k42_d7_dw49_ow49,CD
P002,Story7,CD,look—you’ve,218.6000001430511,CD,50,3,5.387243576396835,1,False,7,1,11.725465593451798,10,49.0,5.303802297489949,Story7_CD_w50,0.06991207056136783,CD,3,CD_Story7_s3_k42,42,8,0,29,1,50,50,look—you’ve,look—you’ve,CD_Story7_s3_k42_d8_dw50_ow50,CD
P002,Story7,CD,only,252.2000001431443,CD,51,3,5.530222424098402,1,False,7,1,9.565246355078358,4,50.0,5.387243576396835,Story7_CD_w51,0.17834780514214987,CD,3,CD_Story7_s3_k42,42,9,0,29,1,51,51,only,only,CD_Story7_s3_k42_d9_dw51_ow51,CD
P002,Story7,CD,hurt,276.3000001432374,CD,52,3,5.621487232447783,1,False,7,1,13.486967755612671,4,51.0,5.530222424098402,Story7_CD_w52,0.21042207165496496,CD,3,CD_Story7_s3_k42,42,10,0,29,1,52,52,hurt,hurt,CD_Story7_s3_k42_d10_dw52_ow52,CD
P002,Story7,CD,I,240.3000001432374,K+1,82,4,5.481888143338501,1,False,7,1,6.34519787421021,1,81.0,5.467638110761389,Story7_CD_w82,0.09673170594384128,CD,4,CD_Story7_s4_k81,81,1,0,14,1,82,82,I,I,CD_Story7_s4_k81_d1_dw82_ow82,CD
P002,Story7,CD,wish,314.7000000951812,K+2,83,4,5.751619804372812,1,False,7,1,12.693163829999095,4,82.0,5.481888143338501,Story7_CD_w83,0.3605641226984062,CD,4,CD_Story7_s4_k81,81,2,0,14,1,83,83,wish,wish,CD_Story7_s4_k81_d2_dw83_ow83,CD
P002,Story7,CD,I,216.9000000953674,K+3,84,4,5.379436418272512,1,False,7,1,6.34519787421021,1,83.0,5.751619804372812,Story7_CD_w84,-0.12328307538352412,CD,4,CD_Story7_s4_k81,81,3,0,14,1,84,84,I,I,CD_Story7_s4_k81_d3_dw84_ow84,CD
P002,Story7,CD,could,186.3000001432374,CD,85,4,5.227358278376396,1,False,7,1,9.764150423492437,5,84.0,5.379436418272512,Story7_CD_w85,-0.12128432460678695,CD,4,CD_Story7_s4_k81,81,4,0,14,1,85,85,could,could,CD_Story7_s4_k81_d4_dw85_ow85,CD
P002,Story7,CD,have,205.9000001433342,CD,86,4,5.327390614729879,1,False,7,1,7.606825458829758,4,85.0,5.227358278376396,Story7_CD_w86,0.04170548865081081,CD,4,CD_Story7_s4_k81,81,5,0,14,1,86,86,have,have,CD_Story7_s4_k81_d5_dw86_ow86,CD
P002,Story7,CD,killed,215.1999999997206,CD,87,4,5.371567828286331,1,False,7,1,12.556529137977249,6,86.0,5.327390614729879,Story7_CD_w87,0.04447120473667887,CD,4,CD_Story7_s4_k81,81,6,0,14,1,87,87,killed,killed,CD_Story7_s4_k81_d6_dw87_ow87,CD
P002,Story7,CD,"you,",201.5,CD,88,4,5.305789381386737,1,False,7,1,6.710283551513701,3,87.0,5.371567828286331,Story7_CD_w88,-0.03959577399311964,CD,4,CD_Story7_s4_k81,81,7,0,14,1,88,88,"you,","you,",CD_Story7_s4_k81_d7_dw88_ow88,CD
P002,Story7,CD,even,203.3000000477768,CD,89,4,5.314682720869307,1,False,7,1,9.99935381735579,4,88.0,5.305789381386737,Story7_CD_w89,-0.0034714001600590905,CD,4,CD_Story7_s4_k81,81,8,0,14,1,89,89,even,even,CD_Story7_s4_k81_d8_dw89_ow89,CD
P002,Story7,CD,if,209.0,CD,90,4,5.342334251964811,1,False,7,1,8.405069330187608,2,89.0,5.314682720869307,Story7_CD_w90,0.02049845639986181,CD,4,CD_Story7_s4_k81,81,9,0,14,1,90,90,if,if,CD_Story7_s4_k81_d9_dw90_ow90,CD
P002,Story7,CD,it,238.1000000000931,CD,91,4,5.472690753493208,1,False,7,1,6.81035885291489,2,90.0,5.342334251964811,Story7_CD_w91,0.13940774643883724,CD,4,CD_Story7_s4_k81,81,10,0,14,1,91,91,it,it,CD_Story7_s4_k81_d10_dw91_ow91,CD
