Participant,Story,Story_Version,Word,RT,Word_Condition,WordIndex,SentenceIndex,log_RT,N_Observations,RT_Replaced,StoryNumber,VersionOrder,FreqH,Length,prev_index,lag1_logRT,item_uid,resid_logRT,PositionInSentence,SentenceLength,RelativePosition,RelativeBin,DistType,MapSentenceIndex,Position,DistWordIndex,OriginalWordIndex,DistWord,OriginalWord,Offset,ItemID,Condition
P002,Story3,CD,its,284.8999999999978,K-1,74,4,5.652138241503855,1,False,3,1,9.501116017658642,3,73.0,5.882765130184628,Story3_CD_w74,0.09511717187150737,11,23,0.5,0.45,CD,4,K-1,74,74,its,its,-1,CD_Story3_s4_d74_o74_K-1,CD
P002,Story3,CD,"answer,",409.4000001430504,K,75,4,6.0146926735766035,1,False,3,1,12.722115203695225,6,74.0,5.652138241503855,Story3_CD_w75,0.5531494529862355,12,23,0.5454545454545454,0.55,CD,4,K,75,75,"answer,","shadow,",0,CD_Story3_s4_d75_o75_K,CD
P002,Story3,CD,speaking,643.9000001907298,K+1,76,4,6.467543434840348,1,False,3,1,13.586385122136509,8,75.0,6.0146926735766035,Story3_CD_w76,0.8559053249118298,13,23,0.5909090909090909,0.55,CD,4,K+1,76,76,speaking,speaking,1,CD_Story3_s4_d76_o76_K+1,CD
P002,Story3,CD,in,291.0000001430599,K+2,77,4,5.673323267663107,1,False,3,1,5.748553568441418,2,76.0,6.467543434840348,Story3_CD_w77,-0.12579175300123246,14,23,0.6363636363636364,0.65,CD,4,K+2,77,77,in,in,2,CD_Story3_s4_d77_o77_K+2,CD
P002,Story3,CD,a,233.2000000476837,K+3,78,4,5.451896454680813,1,False,3,1,5.448508591452505,1,77.0,5.673323267663107,Story3_CD_w78,-0.018417212153502227,15,23,0.6818181818181818,0.65,CD,4,K+3,78,78,a,a,3,CD_Story3_s4_d78_o78_K+3,CD
P002,Story3,CD,serious.,282.9000000953674,K_END,85,4,5.645093478644627,1,False,3,1,12.954288645824258,7,84.0,5.43197375198648,Story3_CD_w85,0.27469675018614925,22,23,1.0,0.95,CD,4,K_END,85,85,serious.,serious.,4,CD_Story3_s4_d85_o85_K_END,CD
P002,Story3,CD,and,272.9000001430504,K-3,111,6,5.609105428238479,1,False,3,1,5.282087830355572,3,110.0,6.3491389914631595,Story3_CD_w111,-0.1409910168584858,8,19,0.4444444444444444,0.45,CD,6,K-3,111,111,and,and,-3,CD_Story3_s6_d111_o111_K-3,CD
P002,Story3,CD,amid,227.7000001430497,K-2,112,6,5.4280289736979315,1,False,3,1,16.776143137576977,4,111.0,5.609105428238479,Story3_CD_w112,-0.015698976208668114,9,19,0.5,0.45,CD,6,K-2,112,112,amid,amid,-2,CD_Story3_s6_d112_o112_K-2,CD
P002,Story3,CD,the,239.2000000476837,K-1,113,6,5.477300022275823,1,False,3,1,4.218934101564037,3,112.0,5.4280289736979315,Story3_CD_w113,0.10853640324397151,10,19,0.5555555555555556,0.55,CD,6,K-1,113,113,the,the,-1,CD_Story3_s6_d113_o113_K-1,CD
P002,Story3,CD,"rumors,",234.6000000476743,K,114,6,5.457881936422591,1,False,3,1,16.581071322240042,6,113.0,5.477300022275823,Story3_CD_w114,0.06872046280765431,11,19,0.6111111111111112,0.65,CD,6,K,114,114,"rumors,","chaos,",0,CD_Story3_s6_d114_o114_K,CD
P002,Story3,CD,the,248.7000001907436,K+1,115,6,5.516247351576322,1,False,3,1,4.218934101564037,3,114.0,5.457881936422591,Story3_CD_w115,0.13512482381190694,12,19,0.6666666666666666,0.65,CD,6,K+1,115,115,the,the,1,CD_Story3_s6_d115_o115_K+1,CD
P002,Story3,CD,donkey,238.6000000476924,K+2,116,6,5.4747885098637,1,False,3,1,17.871521185654235,6,115.0,5.516247351576322,Story3_CD_w116,0.06950312611489995,13,19,0.7222222222222222,0.75,CD,6,K+2,116,116,donkey,donkey,2,CD_Story3_s6_d116_o116_K+2,CD
P002,Story3,CD,took,282.5999999046326,K+3,117,6,5.644032469912963,1,False,3,1,11.59171856643955,4,116.0,5.4747885098637,Story3_CD_w117,0.2559107441102748,14,19,0.7777777777777778,0.75,CD,6,K+3,117,117,took,took,3,CD_Story3_s6_d117_o117_K+3,CD
P002,Story3,CD,away.,287.0,K_END,121,6,5.6594822157596205,1,False,3,1,11.227664995879511,4,120.0,5.4672159028084835,Story3_CD_w121,0.2744954940208908,18,19,1.0,0.95,CD,6,K_END,121,121,away.,away.,4,CD_Story3_s6_d121_o121_K_END,CD
P002,Story7,CD,with,180.5000001434237,K-3,21,2,5.195730778567526,1,False,7,1,7.142034924353815,4,20.0,5.004617222730123,Story7_CD_w21,0.0022565348238350325,7,17,0.4375,0.45,CD,2,K-3,21,21,with,with,-3,CD_Story7_s2_d21_o21_K-3,CD
P002,Story7,CD,a,118.2000000001863,K-2,22,2,4.772378104973574,1,False,7,1,5.448508591452505,1,21.0,5.195730778567526,Story7_CD_w22,-0.5002157563415821,8,17,0.5,0.45,CD,2,K-2,22,22,a,a,-2,CD_Story7_s2_d22_o22_K-2,CD
P002,Story7,CD,hard,152.6000000005588,K-1,23,2,5.027820118854018,1,False,7,1,11.52642710618783,4,22.0,4.772378104973574,Story7_CD_w23,-0.0695088247746698,9,17,0.5625,0.55,CD,2,K-1,23,23,hard,hard,-1,CD_Story7_s2_d23_o23_K-1,CD
P002,Story7,CD,feather,152.9999999995343,K,24,2,5.0304379213893915,1,False,7,1,17.63878682009633,7,23.0,5.027820118854018,Story7_CD_w24,-0.17264215203932132,10,17,0.625,0.65,CD,2,K,24,24,feather,slap,0,CD_Story7_s2_d24_o24_K,CD
P002,Story7,CD,but,150.000000142958,K+1,25,2,5.010635295049309,1,False,7,1,7.871548214816321,3,24.0,5.0304379213893915,Story7_CD_w25,-0.19352852952708588,11,17,0.6875,0.65,CD,2,K+1,25,25,but,but,1,CD_Story7_s2_d25_o25_K+1,CD
P002,Story7,CD,ended,141.6000001910143,K+2,26,2,4.95300618260859,1,False,7,1,13.553056946070445,5,25.0,5.010635295049309,Story7_CD_w26,-0.24295949916169857,12,17,0.75,0.75,CD,2,K+2,26,26,ended,ended,2,CD_Story7_s2_d26_o26_K+2,CD
P002,Story7,CD,up,159.5999999996284,K+3,27,2,5.07267068501338,1,False,7,1,8.673002535434241,2,26.0,4.95300618260859,Story7_CD_w27,-0.0994369647229485,13,17,0.8125,0.85,CD,2,K+3,27,27,up,up,3,CD_Story7_s2_d27_o27_K+3,CD
P002,Story7,CD,instead.,177.4000001433305,K_END,30,2,5.17840707068343,1,False,7,1,12.488625073475445,7,29.0,5.213848210700893,Story7_CD_w30,-0.10168727533302313,16,17,1.0,0.95,CD,2,K_END,30,30,instead.,instead.,4,CD_Story7_s2_d30_o30_K_END,CD
P002,Story7,CD,wanted,212.1000000480562,K-3,39,3,5.35705786179721,1,False,7,1,12.09236478122723,6,38.0,5.230573714971776,Story7_CD_w39,0.07003927905770624,8,41,0.2,0.15,CD,3,K-3,39,39,wanted,wanted,-3,CD_Story7_s3_d39_o39_K-3,CD
P002,Story7,CD,to,220.2999999998137,K-2,40,3,5.3949902538074515,1,False,7,1,5.216250016992825,2,39.0,5.35705786179721,Story7_CD_w40,0.05560815723015633,9,41,0.225,0.25,CD,3,K-2,40,40,to,to,-2,CD_Story7_s3_d40_o40_K-2,CD
P002,Story7,CD,take,200.5000001434237,K-1,41,3,5.300814247461954,1,False,7,1,10.231128851183081,4,40.0,5.3949902538074515,Story7_CD_w41,-0.05427158261697951,10,41,0.25,0.25,CD,3,K-1,41,41,take,take,-1,CD_Story7_s3_d41_o41_K-1,CD
P002,Story7,CD,notes,163.0000001424933,K,42,3,5.093750201680954,1,False,7,1,13.818868436574812,5,41.0,5.300814247461954,Story7_CD_w42,-0.22234744896814007,11,41,0.275,0.25,CD,3,K,42,42,notes,revenge,0,CD_Story7_s3_d42_o42_K,CD
P002,Story7,CD,on,182.3000000952743,K+1,43,3,5.205653682207241,1,False,7,1,6.942528932361784,2,42.0,5.093750201680954,Story7_CD_w43,-0.024720964423595504,12,41,0.3,0.25,CD,3,K+1,43,43,on,on,1,CD_Story7_s3_d43_o43_K+1,CD
P002,Story7,CD,a,215.0999999046326,K+2,44,3,5.371103035830321,1,False,7,1,5.448508591452505,1,43.0,5.205653682207241,Story7_CD_w44,0.09440116481521077,13,41,0.325,0.35,CD,3,K+2,44,44,a,a,2,CD_Story7_s3_d44_o44_K+2,CD
P002,Story7,CD,tiny,244.0999999046326,K+3,45,3,5.497577977008224,1,False,7,1,14.549593090766873,4,44.0,5.371103035830321,Story7_CD_w45,0.15238128086809244,14,41,0.35,0.35,CD,3,K+3,45,45,tiny,tiny,3,CD_Story7_s3_d45_o45_K+3,CD
P002,Story7,CD,harm.,205.5,K_END,71,3,5.325446033936289,1,False,7,1,15.048925519962333,4,70.0,5.258536497280959,Story7_CD_w71,0.026851063363684702,40,41,1.0,0.95,CD,3,K_END,71,71,harm.,harm.,4,CD_Story7_s3_d71_o71_K_END,CD
P002,Story7,CD,that,172.4000000953693,K-3,78,4,5.149817358782779,1,False,7,1,6.6152870375779536,4,77.0,5.9516836772206645,Story7_CD_w78,-0.43573548642759885,6,24,0.2608695652173913,0.25,CD,4,K-3,78,78,that,that,-3,CD_Story7_s4_d78_o78_K-3,CD
P002,Story7,CD,enjoys,193.0,K-2,79,4,5.262690188904886,1,False,7,1,16.842409437412936,6,78.0,5.149817358782779,Story7_CD_w79,0.009104148352888863,7,24,0.30434782608695654,0.35,CD,4,K-2,79,79,enjoys,enjoys,-2,CD_Story7_s4_d79_o79_K-2,CD
P002,Story7,CD,biting,434.9000000953674,K-1,80,4,6.075116119822878,1,False,7,1,17.37330093526844,6,79.0,5.262690188904886,Story7_CD_w80,0.7748015512272302,8,24,0.34782608695652173,0.35,CD,4,K-1,80,80,biting,biting,-1,CD_Story7_s4_d80_o80_K-1,CD
P002,Story7,CD,"dreams,",236.8999999044463,K,81,4,5.467638110761389,1,False,7,1,14.649870319225345,6,80.0,6.075116119822878,Story7_CD_w81,-0.16901486500648666,9,24,0.391304347826087,0.35,CD,4,K,81,81,"dreams,","people,",0,CD_Story7_s4_d81_o81_K,CD
P002,Story7,CD,I,240.3000001432374,K+1,82,4,5.481888143338501,1,False,7,1,6.34519787421021,1,81.0,5.467638110761389,Story7_CD_w82,0.09672663058809583,10,24,0.43478260869565216,0.45,CD,4,K+1,82,82,I,I,1,CD_Story7_s4_d82_o82_K+1,CD
