Term,statistic,pvalue,df_constraint,df_denom
Intercept,137.93839357460487,8.979889355391241e-22,1,122
C(Distance),28.139406658549735,3.4326860630648546e-27,10,122
"C(DistType, Treatment(reference='CD'))",18.73488334891735,3.095759967401299e-05,1,122
"C(Distance):C(DistType, Treatment(reference='CD'))",4.7300146733704365,1.0240160185019981e-05,10,122
AtBoundary,0.9555419445790688,0.33024701782757915,1,122
"AtBoundary:C(DistType, Treatment(reference='CD'))",5.649912942976171,0.01901117170433279,1,122
