DistType,Model,NDistances,NParameters,Minus2LogLik,AIC,AICc,BIC,RawRMSE,ParamCovCondition,Error,DeltaAICc,AkaikeWeight
CD,log_cauchy,11,4,-6.003159751726386,1.9968402482736138,8.663506914940282,3.5884213394670965,0.2791863770926312,5704653024767279.0,,0.0,0.3781540425037056
CD,exp_plus_exp,11,5,-12.091956447717102,-2.091956447717102,9.908043552282898,-0.10248008372524886,0.18296138840809326,7680100014.591393,,1.244536637342616,0.20296495197888714
CD,exp_plus_power,11,5,-12.05113316373898,-2.05113316373898,9.94886683626102,-0.061656799747126456,0.18331295942716896,37970756.38684172,,1.2853599213207385,0.19886409899322596
CD,power_law,11,3,1.5369938641059235,7.5369938641059235,10.965565292677352,8.730679682501036,0.4789971635433638,726.1421405739774,,2.3020583777370707,0.11961430526325555
CD,exponential,11,3,2.2207316229387146,8.220731622938715,11.649303051510143,9.414417441333827,0.5947555753508812,5054.164233879835,,2.9857961365698618,0.08497894876017167
CD,zipf_alekseev,11,4,1.5369938679257942,9.536993867925794,16.203660534592462,11.128574959119277,0.478996062650212,20490.074926333768,,7.54015361965218,0.008716561376838728
CD,log_normal,11,4,2.061112826357707,10.061112826357707,16.727779493024375,11.65269391755119,0.5643547384876376,6.957819133035092e+18,,8.064272578084093,0.0067070911239153555
CD,broken_stick,11,4,73.93567660686034,81.93567660686034,88.60234327352701,83.52725769805383,2.0205106776460156,5418.659751575078,,79.93883635858673,1.6564219894937482e-18
CD,quadratic,11,3,86.6265854966534,92.6265854966534,96.05515692522484,93.82027131504852,2.4624993127211314,87929.44394646144,,87.39165001028455,3.988531859644845e-20
CD,linear,11,2,142.99278511499415,146.99278511499415,148.49278511499415,147.78857566059088,2.8313869969206555,436.5411709651928,,139.82927820005386,1.6372944210735444e-31
CD,constant,11,1,257.5171715329164,259.5171715329164,259.96161597736085,259.9150668057148,3.179644694766369,1.0,,251.29810906242056,1.020887081352052e-55
RD,exponential,11,3,-11.93388310934701,-5.9338831093470095,-2.505311680775581,-4.7401972909518975,0.293371991783268,140.1015516584297,,0.0,0.4823013027241317
RD,log_normal,11,4,-16.345900811018325,-8.345900811018325,-1.6792341443516579,-6.754319719824842,0.10099941567930344,1089.0221541662977,,0.8260775364239232,0.31910820947678165
RD,zipf_alekseev,11,4,-15.209701263208363,-7.209701263208363,-0.5430345965416956,-5.61812017201488,0.1467363859314954,755.2396399347248,,1.9622770842338855,0.1808070582194252
RD,log_cauchy,11,4,-10.150983967774355,-2.150983967774355,4.515682698892312,-0.5594028765808723,0.17572736831938024,6384199605442.035,,7.0209943796678935,0.01441215342257341
RD,power_law,11,3,-0.48439002316807134,5.515609976831929,8.944181405403357,6.709295795227041,0.5392418349874609,142.8990313255925,,11.449493086178938,0.0015743185075943274
RD,exp_plus_exp,11,5,-11.93388311010945,-1.9338831101094502,10.06611688989055,0.055593253882403104,0.2933731892236435,1.8522399418797715e+27,,12.57142857066613,0.0008983951651495352
RD,exp_plus_power,11,5,-11.933883109576884,-1.9338831095768843,10.066116890423116,0.055593254414969095,0.2933721887312971,inf,,12.571428571198696,0.0008983951649103079
RD,broken_stick,11,4,12.5763712983482,20.5763712983482,27.243037965014867,22.167952389541682,0.510281019066912,3287.59978885544,,29.748349645790448,1.6731943389587922e-07
RD,quadratic,11,3,134.584141018063,140.584141018063,144.01271244663442,141.77782683645813,1.3524476853215248,141353.0612651672,,146.51802412741,7.36773074357511e-33
RD,linear,11,2,224.6172035644722,228.6172035644722,230.1172035644722,229.41299411006892,1.967398085722037,304.9538156459495,,232.62251524524777,1.4790439055045834e-51
RD,constant,11,1,270.81473695393646,272.81473695393646,273.2591813983809,273.21263222673485,2.165019916679867,1.0,,275.7644930791565,6.336064803048358e-61
