DistType,Distance,N,NTrajectories,NStories,NBoundary
CD,0,50,50,21,0
CD,1,50,50,21,2
CD,2,48,48,21,5
CD,3,43,43,21,6
CD,4,37,37,20,7
CD,5,30,30,19,5
CD,6,25,25,17,7
CD,7,18,18,14,3
CD,8,15,15,12,1
CD,9,14,14,11,2
CD,10,12,12,9,5
RD,0,73,73,21,4
RD,1,69,69,21,7
RD,2,62,62,21,5
RD,3,57,57,21,3
RD,4,54,54,21,2
RD,5,52,52,21,5
RD,6,47,47,21,3
RD,7,44,44,21,6
RD,8,38,38,21,1
RD,9,37,37,21,3
RD,10,34,34,20,3
