DistType,Distance,Position,Estimate,SE,T,P,CILow,CIHigh
CD,0,K,10.794793007522832,0.9279722504600507,11.632667897311817,1.0520531985736624e-15,8.929962952255222,12.659623062790443
CD,1,K+1,0.6445228427338865,0.3469971222437685,1.857429936497005,0.0692650199613043,-0.0527939814822983,1.3418396669500714
CD,2,K+2,0.7499596207993768,0.24258020148173873,3.091594516858513,0.0032808252338375546,0.262476454883853,1.2374427867149007
CD,3,K+3,0.4830603867036256,0.15187182901715154,3.1807109312489517,0.0025487675926983396,0.17786251989323193,0.7882582535140192
CD,4,K+4,0.6089697916711465,0.18246188806550548,3.3375177585168956,0.0016199374283153184,0.24229889969485957,0.9756406836474334
CD,5,K+5,0.18622996086400256,0.1127358662268054,1.651914045609403,0.10494704204984065,-0.04032124424170014,0.41278116596970527
CD,6,K+6,0.310648358098625,0.13337115836634397,2.329201919693431,0.024014953934843014,0.042628980898377966,0.578667735298872
CD,7,K+7,0.1160984561627405,0.11384300794705438,1.0198119169227775,0.3128265905621473,-0.1126776335279672,0.34487454585344823
CD,8,K+8,0.02878837009080293,0.12113441927264719,0.23765640074607186,0.8131385410988629,-0.2146403592435398,0.27221709942514566
CD,9,K+9,0.2219499412351098,0.14229146984147134,1.5598260491819147,0.12523706439995258,-0.06399547301303304,0.5078953554832526
CD,10,K+10,0.04727719722990287,0.3508304041883728,0.13475798182109133,0.8933552549036914,-0.6577428954590934,0.7522972899188991
RD,0,K,6.393002853072054,0.4351458083432868,14.691633770785655,2.3261808010632665e-23,5.525555537954082,7.260450168190026
RD,1,K+1,3.0338480309199314,0.6007240023745565,5.050319312908528,3.210638896294919e-06,1.8363266185669533,4.231369443272909
RD,2,K+2,0.7933873013697985,0.25836139966051924,3.0708430222637384,0.0030107131737208935,0.27835326411478656,1.3084213386248105
RD,3,K+3,0.2734116704732523,0.12757205688363024,2.1431940281613184,0.035477209399007274,0.019101422951619595,0.5277219179948851
RD,4,K+4,-0.06970291800726702,0.07934907099170083,-0.8784339518550545,0.38263037663872035,-0.227882400077689,0.08847656406315496
RD,5,K+5,-0.07534048794236892,0.13132314530771202,-0.5737030419567974,0.5679565759579557,-0.3371283935727358,0.18644741768799794
RD,6,K+6,0.07357914399313614,0.0850254406326988,0.8653779791743804,0.38970569023715684,-0.09591597414752084,0.24307426213379313
RD,7,K+7,-0.1392177297590882,0.11081698957756271,-1.2562850722600376,0.21307360978054088,-0.3601273610491078,0.08169190153093142
RD,8,K+8,0.06618436027369512,0.0653750417592137,1.0123796252010402,0.31474668919399296,-0.06413840364229581,0.19650712418968605
RD,9,K+9,0.1440810270239572,0.1389889921047685,1.0366362460945855,0.3033744871643629,-0.13298846490395333,0.4211505189518677
RD,10,K+10,0.013416620194310447,0.08005799334789236,0.16758626632082152,0.8673785989499626,-0.14617607276477146,0.17300931315339235
