DistType,Story,PerturbationID,Distance,AtBoundary,DistWordIndex,OriginalWordIndex,DistSurprisal,OriginalSurprisal,DeltaSurprisal,RepresentationDistance
CD,Story1,CD_Story1_s1_k18,0,0,18,18,18.42430305480957,6.9496965408325195,11.47460651397705,0.04398244619369507
CD,Story1,CD_Story1_s1_k18,1,0,19,19,21.79825210571289,21.636531829833984,0.16172027587890625,0.005877554416656494
CD,Story1,CD_Story1_s1_k18,2,1,20,20,3.104384660720825,2.7259185314178467,0.3784661293029785,0.007535874843597412
CD,Story1,CD_Story1_s2_k26,0,0,26,26,22.346586227416992,8.847896575927734,13.498689651489258,0.08696931600570679
CD,Story1,CD_Story1_s2_k26,1,0,27,27,4.280716896057129,10.37745475769043,-6.096737861633301,0.041768014430999756
CD,Story1,CD_Story1_s2_k26,2,0,28,28,1.5799472332000732,0.4381587505340576,1.1417884826660156,0.01838761568069458
CD,Story1,CD_Story1_s2_k26,3,0,29,29,1.954110860824585,2.2810065746307373,-0.32689571380615234,0.020190834999084473
CD,Story1,CD_Story1_s2_k26,4,0,30,30,5.012492656707764,5.285863399505615,-0.27337074279785156,0.005364656448364258
CD,Story1,CD_Story1_s2_k26,5,0,31,31,2.4714064598083496,2.1207547187805176,0.35065174102783203,0.0014134645462036133
CD,Story1,CD_Story1_s2_k26,6,0,32,32,2.1272077560424805,1.792844533920288,0.3343632221221924,0.0053116679191589355
CD,Story1,CD_Story1_s2_k26,7,0,33,33,4.309716701507568,3.688216209411621,0.6215004920959473,0.002306699752807617
CD,Story1,CD_Story1_s2_k26,8,1,34,34,4.930441856384277,5.076349258422852,-0.14590740203857422,0.0029414892196655273
CD,Story1,CD_Story1_s4_k53,0,0,53,53,20.294788360595703,0.047089431434869766,20.247698929160833,0.07261121273040771
CD,Story1,CD_Story1_s4_k53,1,0,54,54,1.211775302886963,0.8011637926101685,0.41061151027679443,0.00904613733291626
CD,Story1,CD_Story1_s4_k53,2,0,55,55,8.459409713745117,7.331836700439453,1.127573013305664,0.0042931437492370605
CD,Story1,CD_Story1_s4_k53,3,0,56,56,5.183093070983887,4.136104583740234,1.0469884872436523,0.0029013752937316895
CD,Story1,CD_Story1_s4_k53,4,0,57,57,3.0837149620056152,2.792786121368408,0.29092884063720703,0.0032987594604492188
CD,Story1,CD_Story1_s4_k53,5,0,58,58,0.5018066167831421,0.49665695428848267,0.005149662494659424,0.00241166353225708
CD,Story1,CD_Story1_s4_k53,6,1,59,59,4.681576251983643,4.572170257568359,0.1094059944152832,0.001515209674835205
CD,Story2,CD_Story2_s2_k35,0,0,35,35,18.895023345947266,4.6327128410339355,14.26231050491333,0.021736562252044678
CD,Story2,CD_Story2_s2_k35,1,0,36,36,4.879914283752441,4.941928386688232,-0.062014102935791016,0.006118178367614746
