Outcome,DistType,Position,Contrast,N,NUnits,Estimate,SE,T,P,CILow,CIHigh,P_FDR_Within,Significant_FDR_Within
DeltaSurprisal,CD,K,CD - Original,58,50,9.891248988694157,0.911748280953234,10.848662065315706,1.2575621719444014e-14,8.059022220795384,11.72347575659293,1.0060497375555211e-13,True
DeltaSurprisal,CD,K+1,CD - Original,55,50,0.5555079531940545,0.3128207399841649,1.7758028231189997,0.08197549324313184,-0.07312885953856785,1.184144765926677,0.1639509864862637,False
DeltaSurprisal,CD,K+2,CD - Original,53,48,0.8856265617991395,0.250048109522895,3.541824665217272,0.0009092615973347541,0.382594649490394,1.388658474107885,0.002829827117535755,True
DeltaSurprisal,CD,K+3,CD - Original,48,43,0.4846380936602754,0.13778625701878558,3.5173180848812846,0.001061185169075908,0.2065741694708248,0.7627020178497259,0.002829827117535755,True
DeltaSurprisal,CD,K-1,CD - Original,55,50,0.03558386726812883,0.031677257234107525,1.1233253878373972,0.26677300021099115,-0.028073964449706723,0.09924169898596438,0.3321227423988007,False
DeltaSurprisal,CD,K-2,CD - Original,55,50,-0.14007026295770295,0.1311116078282581,-1.068328466699758,0.2906073995989506,-0.4035489033495706,0.12340837743416469,0.3321227423988007,False
DeltaSurprisal,CD,K-3,CD - Original,54,49,-0.022682817721808402,0.05292246616789068,-0.4286046997479231,0.6701282827914335,-0.1290905676581619,0.08372493221454509,0.6701282827914335,False
DeltaSurprisal,CD,K_END,CD - Original,50,50,0.18518129229545596,0.15131117098970864,1.223844155617902,0.22686338312719062,-0.11888989002649072,0.4892524746174026,0.3321227423988007,False
DeltaSurprisal,RD,K,RD - Original,86,73,6.243792811451958,0.40115902881942345,15.564383107185456,9.740976271750199e-25,5.444096903062977,7.043488719840939,7.792781017400159e-24,True
DeltaSurprisal,RD,K+1,RD - Original,82,70,2.859019853765281,0.5091655516144835,5.615108572643575,3.8141494716506165e-07,1.8432623710414198,3.8747773364891422,1.5256597886602466e-06,True
DeltaSurprisal,RD,K+2,RD - Original,75,66,1.0586389647920924,0.24695482283008588,4.2867717773646214,6.129687398530204e-05,0.5654361264578969,1.551841803126288,0.0001634583306274721,True
DeltaSurprisal,RD,K+3,RD - Original,70,62,0.4570637931781155,0.1083544935128915,4.218226474601501,8.300511481617688e-05,0.24039559240955652,0.6737319939466745,0.00016601022963235376,True
DeltaSurprisal,RD,K-1,RD - Original,82,71,0.10101553107180243,0.05912138879710979,1.7086122827469958,0.09195366405906381,-0.01689836084460658,0.21892942298821144,0.12260488541208509,False
DeltaSurprisal,RD,K-2,RD - Original,76,67,0.17711018182729416,0.11240999641534691,1.5755732361460513,0.11990585171868523,-0.04732361735014434,0.40154398100473265,0.13461604834968532,False
DeltaSurprisal,RD,K-3,RD - Original,68,62,-0.05530118399902302,0.03647181530199699,-1.5162717715340877,0.13461604834968532,-0.12823108606447553,0.017628718066429475,0.13461604834968532,False
DeltaSurprisal,RD,K_END,RD - Original,73,73,1.2283756708445617,0.3550302326591873,3.459918502275117,0.0009119206821990588,0.5206358369749841,1.9361155047141394,0.0014590730915184941,True
RepresentationDistance,CD,K,CD vs Original,58,50,0.055733650922775255,0.008557507604577333,6.51283685602147,3.772720934682862e-08,0.03853669554907149,0.07293060629647902,1.0644374811484759e-07,True
RepresentationDistance,CD,K+1,CD vs Original,55,50,0.020063954049890694,0.0030881767300487703,6.497022613590457,3.991640554306785e-08,0.013858030565305936,0.026269877534475454,1.0644374811484759e-07,True
RepresentationDistance,CD,K+2,CD vs Original,53,48,0.015284177267326499,0.0024051240129200633,6.354839578009936,7.799333464087419e-08,0.010445691849990895,0.020122662684662104,1.5598666928174838e-07,True
RepresentationDistance,CD,K+3,CD vs Original,48,43,0.01166803638140361,0.0019688252491801023,5.926395136522475,5.068498019546982e-07,0.0076947861699862815,0.01564128659282094,8.109596831275171e-07,True
RepresentationDistance,CD,K-1,CD vs Original,55,50,0.002986445210196755,0.0008800326471821228,3.393561840869649,0.0013740132627439684,0.0012179533945542679,0.004754937025839242,0.0013740132627439684,True
RepresentationDistance,CD,K-2,CD vs Original,55,50,0.001590464331886985,0.000326170535109063,4.8761741502958715,1.1813405288492325e-05,0.0009350001014506186,0.0022459285623233514,1.465057447561381e-05,True
RepresentationDistance,CD,K-3,CD vs Original,54,49,0.0013357533348931205,0.00027465758674120275,4.863340389543798,1.2819252666162083e-05,0.0007835172445460659,0.0018879894252401752,1.465057447561381e-05,True
RepresentationDistance,CD,K_END,CD vs Original,50,50,0.00449161410331726,0.0005182257352079433,8.667292645192454,1.8568879824852696e-11,0.003450200498600282,0.005533027708034237,1.4855103859882157e-10,True
RepresentationDistance,RD,K,RD vs Original,86,73,0.10554481869520148,0.006659464964766266,15.848843601342661,3.536012189836151e-25,0.09226941791447874,0.11882021947592422,2.8288097518689208e-24,True
RepresentationDistance,RD,K+1,RD vs Original,82,70,0.023294359445571892,0.0027957756218958867,8.331984606753025,4.93890263630049e-12,0.01771693968700211,0.028871779204141676,1.975561054520196e-11,True
RepresentationDistance,RD,K+2,RD vs Original,75,66,0.01143070777257283,0.0019841683517734295,5.76095660549982,2.483953903859655e-07,0.0074680499406144345,0.015393365604531226,3.9743262461754485e-07,True
RepresentationDistance,RD,K+3,RD vs Original,70,62,0.008230301312037875,0.0014848569435118326,5.542824410122907,6.748634359204813e-07,0.005261146347448117,0.011199456276627634,8.998179145606417e-07,True
RepresentationDistance,RD,K-1,RD vs Original,82,71,0.0017235010135464547,0.0003487797800122279,4.941516430470913,5.0939547260126176e-06,0.0010278816764546772,0.0024191203506382323,5.82166254401442e-06,True
RepresentationDistance,RD,K-2,RD vs Original,76,67,0.002830394788792257,0.0013294598119941757,2.1289810818325487,0.03699153066802875,0.0001760426317376565,0.005484746945846858,0.03699153066802875,True
RepresentationDistance,RD,K-3,RD vs Original,68,62,0.0014884655966478236,0.00023089602049483686,6.446475748944784,2.0519325253795765e-08,0.001026760468384873,0.0019501707249107742,4.103865050759153e-08,True
RepresentationDistance,RD,K_END,RD vs Original,73,73,0.004774454521806274,0.0005934648510793622,8.045050204949378,1.2634077750772084e-11,0.0035914039630851524,0.0059575050805273965,3.369087400205889e-11,True
