Story,Story_Version,MeanZipfFrequency,MedianZipfFrequency,MeanWordLength,WordCount,OOVRate,MeanNLL,Perplexity,ModelTokenCount
Story1,Original,5.430192307692308,5.279999999999999,4.355769230769231,104,0.019230769230769232,1.8745286464691162,6.517746233478417,134
Story1,CD,5.423076923076923,5.165,4.375,104,0.019230769230769232,2.2191693782806396,9.199686232226611,134
Story1,RD,5.398461538461538,5.279999999999999,4.365384615384615,104,0.019230769230769232,2.2194578647613525,9.202340600187636,134
Story10,Original,5.73368932038835,6.3,3.970873786407767,103,0.0,2.26039457321167,9.586871143118838,127
Story10,CD,5.7473786407767005,6.3,3.9805825242718447,103,0.0,2.6106185913085938,13.607465708903385,127
Story10,RD,5.706213592233011,6.11,4.019417475728155,103,0.0,2.633925199508667,13.928334234822135,127
Story11,Original,5.856578947368421,5.95,4.087719298245614,114,0.0,2.489490509033203,12.055132574386814,136
Story11,CD,5.856754385964913,5.95,4.0964912280701755,114,0.0,2.7597060203552246,15.795198798719124,136
Story11,RD,5.834824561403509,5.885,4.105263157894737,114,0.0,2.704428195953369,14.94576819599261,136
Story12,Original,5.9195890410958905,6.06,3.684931506849315,73,0.0,1.9355770349502563,6.92804062376427,88
Story12,CD,5.892191780821918,6.06,3.7260273972602738,73,0.0,2.2767980098724365,9.745425640811602,88
Story12,RD,5.925890410958904,6.06,3.643835616438356,73,0.0,2.3238232135772705,10.21465254582731,88
Story13,Original,5.885196078431372,6.04,4.03921568627451,102,0.0,1.587409496307373,4.891062188238351,128
Story13,CD,5.90049019607843,6.04,4.0,102,0.0,1.989534616470337,7.312130025468858,128
Story13,RD,5.875098039215686,6.04,4.0588235294117645,102,0.0,1.8981637954711914,6.673629036967828,128
Story14,Original,5.976206896551723,6.095000000000001,3.8620689655172415,116,0.0,1.9695066213607788,7.167139502346916,140
Story14,CD,5.986293103448276,6.095000000000001,3.8620689655172415,116,0.0,2.271366834640503,9.692640000232794,140
Story14,RD,5.962413793103448,6.01,3.9310344827586206,116,0.0,2.2668519020080566,9.648977025467047,140
Story15,Original,5.743709677419356,5.835,4.354838709677419,62,0.0,2.442289113998413,11.499333923526118,71
Story15,CD,5.733870967741937,5.835,4.403225806451613,62,0.0,2.8392982482910156,17.103758732820072,71
Story15,RD,5.689193548387097,5.835,4.370967741935484,62,0.0,3.0114266872406006,20.31636435653858,71
Story16,Original,5.92808988764045,6.12,4.213483146067416,89,0.0,1.8089807033538818,6.104222246850925,103
Story16,CD,5.926966292134831,6.12,4.247191011235955,89,0.0,2.1291868686676025,8.408027200705543,102
Story16,RD,5.917640449438202,6.12,4.258426966292135,89,0.0,2.1884028911590576,8.92095399655035,103
Story17,Original,5.840714285714286,6.17,4.2023809523809526,84,0.0,2.350069284439087,10.486296236712155,101
Story17,CD,5.818571428571429,6.17,4.2023809523809526,84,0.0,2.627734422683716,13.84237338279874,101
Story17,RD,5.85702380952381,6.215,4.119047619047619,84,0.0,2.657562494277954,14.261484247939526,101
Story18,Original,5.808842105263156,6.19,4.042105263157895,95,0.0,2.184527635574341,8.886449918994547,116
Story18,CD,5.837789473684208,6.19,4.08421052631579,95,0.0,2.4997706413269043,12.179700120461643,116
Story18,RD,5.776947368421052,6.19,4.094736842105263,95,0.0,2.6670689582824707,14.397707007069885,116
Story19,Original,5.954299065420559,6.03,4.065420560747664,107,0.0,2.779395818710327,16.109285078574146,129
Story19,CD,5.965514018691588,6.03,4.074766355140187,107,0.0,2.9820196628570557,19.727619577498967,129
Story19,RD,5.945981308411213,5.96,4.08411214953271,107,0.0,3.084733724594116,21.861644848627467,129
Story2,Original,6.0015841584158425,6.19,4.089108910891089,101,0.0,2.1684296131134033,8.744540940150978,124
Story2,CD,6.0166336633663375,6.19,4.079207920792079,101,0.0,2.5335843563079834,12.598583113288312,122
