DistType,Distance,Position,Estimate,SE,T,P,CILow,CIHigh
CD,0,K,0.041037509441375665,0.004417880624132843,9.288958424364544,2.1967354511713318e-12,0.03215944593852523,0.0499155729442261
CD,1,K+1,0.0192871508337155,0.003365743279208372,5.730428387946411,6.073345659697949e-07,0.01252343648528419,0.026050865182146807
CD,2,K+2,0.014493206447894903,0.002498396577567753,5.801003162598139,4.7341762768018057e-07,0.009472490553086306,0.0195139223427035
CD,3,K+3,0.01247551598420547,0.0022477555093051217,5.550210391014542,1.1448881396789616e-06,0.007958482173585076,0.016992549794825864
CD,4,K+4,0.008540200580326021,0.0018807073489463034,4.540951352750765,3.658258796168089e-05,0.00476077766359655,0.012319623497055492
CD,5,K+5,0.007083788405315997,0.0012747353355212843,5.557066010427321,1.1176751599891205e-06,0.004522111841158791,0.009645464969473203
CD,6,K+6,0.008500242765712443,0.0015886069413129297,5.350752627762837,2.299729512417543e-06,0.005307817594918356,0.011692667936506529
CD,7,K+7,0.007635012822472607,0.0017151411428543671,4.4515361632374395,4.923939656540644e-05,0.004188307653610928,0.011081717991334287
CD,8,K+8,0.008848471995376243,0.0022052674896419415,4.012425720207269,0.00020520423097613856,0.004416821056945635,0.013280122933806851
CD,9,K+9,0.009059747534527852,0.00371652625232282,2.437692328653815,0.018455926044559697,0.001591108409719177,0.01652838665933653
CD,10,K+10,0.0072554372014030505,0.0018621446473408537,3.8962801368646787,0.0002963630424003112,0.00351331743015411,0.01099755697265199
RD,0,K,0.10189966760368775,0.006722251083868024,15.158563155759733,4.2086429698819386e-24,0.08849910498204357,0.11530023022533194
RD,1,K+1,0.023280324479915987,0.0033625612742967117,6.92339041012275,1.5297893941030809e-09,0.016577181088937375,0.0299834678708946
RD,2,K+2,0.009712078351664988,0.0014254367956015855,6.813405113178759,2.4365632756196368e-09,0.006870522033053982,0.012553634670275994
RD,3,K+3,0.007037363210175229,0.0008769553204120067,8.024768248020859,1.3784969043390576e-11,0.005289184729343606,0.008785541691006853
RD,4,K+4,0.00544565229571263,0.0008374505682752493,6.502655203790821,9.007472251428923e-09,0.0037762250989756404,0.00711507949244962
RD,5,K+5,0.005480968552733709,0.000919761136100502,5.95912170845932,8.565662136615265e-08,0.0036474582378858266,0.007314478867581591
RD,6,K+6,0.004965933930253519,0.0009024165644331221,5.502928609663773,5.422914338728304e-07,0.0031669993871039147,0.0067648684734031225
RD,7,K+7,0.005245257970719286,0.0010281184289435675,5.101803277769271,2.6305545952574764e-06,0.003195741340406642,0.0072947746010319295
RD,8,K+8,0.004548864757236731,0.0011348900566392718,4.0081986185579925,0.0001475418074388088,0.0022865027771595153,0.006811226737313948
RD,9,K+9,0.0037244246955027843,0.0008456546375569672,4.404191179347597,3.624032724358381e-05,0.00203864298555432,0.005410206405451249
RD,10,K+10,0.003867187343819564,0.0008280816500969514,4.670055595806037,1.3615776955261813e-05,0.0022164367441300475,0.00551793794350908
