DistType,Estimate,SE,T,P,CILow,CIHigh
CD,-0.00507997805152553,0.0013687684289328639,-3.7113495198643975,0.00031188560929686424,-0.007789591867079997,-0.0023703642359710637
RD,-0.012108617443049481,0.004558724626011956,-2.6561414510448924,0.008960347561331777,-0.021133068158632307,-0.003084166727466654
