Term,statistic,pvalue,df_constraint,df_denom
Intercept,87.9550020285144,4.574267474788024e-16,1,122
C(Distance),7.012442992567844,1.256577575082436e-08,10,122
"C(DistType, Treatment(reference='CD'))",57.559958353314855,7.2268687608772215e-12,1,122
"C(Distance):C(DistType, Treatment(reference='CD'))",7.7042304585412875,1.8174178042501458e-09,10,122
AtBoundary,13.774115258597694,0.0003118856092968629,1,122
"AtBoundary:C(DistType, Treatment(reference='CD'))",2.1805644431123152,0.14233981482697175,1,122
