DistType,BoundaryModulation,SE,T,P,CILow,CIHigh
CD,-0.005079978051525569,0.0013819528692982815,-3.675941607259765,0.000587514746619648,-0.007857116316547097,-0.002302839786504042
RD,-0.012108617443049455,0.004557811245657012,-2.656673738866952,0.009712833278303985,-0.02119444810498847,-0.0030227867811104397
